"IdCandidatoWeb","Candidato","Partido","TemaCodigo","Tema","PropuestaCorta","PropuestaDetalle","Fuentes","CantidadFuentes","FuenteDataset"
"rla","Rafael López Aliaga","Renovación Popular","seguridad","Seguridad","Más patrullaje e inteligencia; endurecer penas.","Respaldó estados de emergencia en Lima y pidió medidas “drásticas y urgentes” contra el crimen; énfasis en soporte tecnológico y coordinación interinstitucional.","https://www.tvperu.gob.pe/noticias/nacionales/rafael-lopez-aliaga-tenemos-registro-de-que-el-estado-de-emergencia-en-lima-si-nos-ha-funcionado; https://andina.pe/agencia/noticia-alcalde-lima-pide-aplicar-medidas-drasticas-y-urgentes-contra-delincuencia-1048236.aspx; https://www.infobae.com/peru/2023/10/10/rafael-lopez-aliaga-se-refirio-al-estado-de-emergencia-anunciado-en-lince-y-cercado-de-lima/","3","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","educacion","Educacion","Meritocracia y gestión por resultados.","Sin documento propio reciente con metas/presupuesto. El plan RP 2021 contiene ejes sociales y educativos (histórico).","https://mpesije.jne.gob.pe/docs/e5c14965-b72b-475c-bcb5-f5faa0534932.pdf","1","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","mineria","Mineria","Promoción con estabilidad jurídica.","No se halló propuesta minera propia con indicadores en 2024–2025.","","0","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","produccion","Produccion","Simplificación de trámites.","Sin lineamientos productivos detallados recientes; referencias históricas en plan RP 2021.","https://mpesije.jne.gob.pe/docs/e5c14965-b72b-475c-bcb5-f5faa0534932.pdf","1","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","economia","Economia","Competitividad y disciplina fiscal.","Plantea que Petroperú no sea rescatada con recursos públicos y propone entregarla a sus trabajadores como salida a la crisis.","https://www.infobae.com/peru/2025/07/04/rafael-lopez-aliaga-sugiere-entregar-petroperu-a-sus-trabajadores-y-advierte-vacancia-de-dina-boluarte-si-hay-rescate-financiero/","1","https://candidatosperu2026.neocities.org/"
"rla","Rafael López Aliaga","Renovación Popular","social","Social","Defensa de la familia tradicional.","Postura pública “provida”: rechaza la legalización del aborto bajo cualquier circunstancia.","https://canaln.pe/actualidad/rafael-lopez-aliaga-aborto-no-pude-legalizado-peru-ninguna-circunstancia-n432281; https://gestion.pe/peru/politica/el-aborto-no-pude-ser-legalizado-en-el-peru-en-ninguna-circunstancia-senala-rafael-lopez-aliaga-noticia/; https://www.infobae.com/peru/2024/07/05/rafael-lopez-aliaga-ataca-al-movimiento-que-reclama-el-derecho-al-aborto-un-fango-verde-estamos-hechos-para-derrotar-a-esas-mareas/","3","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","seguridad","Seguridad","Endurecer penas y reforzar PNP.","Su discurso prioriza “mano dura” contra crimen organizado, refuerzo de inteligencia y control penitenciario; sin embargo, no hallé un plan sectorial propio 2024–2025 firmado por la candidata con metas y presupuesto. El referente verificable más reciente sigue siendo el plan partidario 2021 y entrevistas previas.","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF","1","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","educacion","Educacion","Infraestructura y meritocracia.","Elevar calidad con meritocracia docente (evaluación y formación), cerrar brechas de infraestructura (agua/saneamiento/aulas seguras), conectividad y recuperación de aprendizajes. Gestión con medición periódica y fortalecimiento de la carrera magisterial. No hay nuevo plan propio 2024–2025; se toma como referencia el documento 2021.","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF","1","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","mineria","Mineria","Estabilidad y atracción de inversión.","Promueve inversión con estabilidad jurídica y fiscalización socioambiental; prevención/gestión de conflictos y fortalecimiento de SENACE/OEFA. En minería ilegal, control y formalización. Sin plan propio 2024–2025; marco: plan 2021.","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF","1","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","produccion","Produccion","Clima proempresa; formalización.","Infraestructura logística (vial, portuaria, aeroportuaria y digital), simplificación regulatoria y crédito MYPE para productividad y empleo. Impulso de clusters y APP. Sin actualización 2024–2025 publicada por la candidata; rige el plan 2021 como referencia verificable.","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF","1","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","economia","Economia","Economía social de mercado.","Estabilidad macro (disciplina fiscal/monetaria), atracción de inversión, formalización y APP. Discurso reciente mantiene énfasis en empleo formal y confianza; no hay marco macro propio 2024–2025 con metas públicas.","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF; https://www.reuters.com/world/americas/perus-keiko-fujimori-announces-fourth-bid-presidency-2025-10-31/","2","https://candidatosperu2026.neocities.org/"
"kf","Keiko Fujimori","Fuerza Popular","social","Social","Conservadora en temas de familia.","Programas focalizados (nutrición infantil, salud primaria, agua/saneamiento) y transparencia del gasto social. En temas de valores, mantiene postura provida con excepción del aborto terapéutico (posiciones públicas previas).","https://apisije-e.jne.gob.pe/TRAMITE/ESCRITO/1095/ARCHIVO/FIRMADO/3017.PDF; https://rpp.pe/politica/elecciones/sobre-el-aborto-union-civil-y-eutanasia-por-keiko-fujimori-noticia-1323922","2","https://candidatosperu2026.neocities.org/"
"ca","César Acuña","Alianza para el Progreso","seguridad","Seguridad","Tolerancia cero; patrullaje municipal.","“Tolerancia cero” con rol municipal: patrullaje integrado, cámaras y serenazgo coordinado con PNP. Prevención con deporte y recuperación de espacios públicos.","https://app.pe/; https://www.youtube.com/watch?v=KJqbR-XDWHY","2","https://candidatosperu2026.neocities.org/"
"ca","César Acuña","Alianza para el Progreso","educacion","Educacion","Cobertura y calidad.","Becas y ampliación de cobertura, con calidad y pertinencia laboral. Evaluación docente con incentivos y fortalecimiento de educación técnica.","https://app.pe/","1","https://candidatosperu2026.neocities.org/"
"ca","César Acuña","Alianza para el Progreso","mineria","Mineria","Proinversión con reglas claras.","Proinversión responsable: estabilidad de reglas, respeto socioambiental y uso de OxI para cerrar brechas en zonas de influencia.","https://es.wikipedia.org/wiki/C%C3%A9sar_Acu%C3%B1a","1","https://candidatosperu2026.neocities.org/"
"ca","César Acuña","Alianza para el Progreso","produccion","Produccion","Obras por impuestos; apoyo MYPES.","Impulso a MYPES con compras estatales, simplificación y digitalización. APP y OxI para infraestructura logística y de riego.","https://app.pe/","1","https://candidatosperu2026.neocities.org/"
"ca","César Acuña","Alianza para el Progreso","economia","Economia","Gasto focalizado y disciplina.","Disciplina fiscal y gasto focalizado en infraestructura y programas efectivos. Alianzas público-privadas como motor de empleo.","https://app.pe/","1","https://candidatosperu2026.neocities.org/"
"ca","César Acuña","Alianza para el Progreso","social","Social","Conservador moderado.","Conservador moderado; lucha contra pobreza con resultados medibles y expansión de servicios básicos.","https://es.wikipedia.org/wiki/C%C3%A9sar_Acu%C3%B1a","1","https://candidatosperu2026.neocities.org/"
"gf","George Forsyth","Somos Perú","seguridad","Seguridad","Coordinación PNP–municipios; videovigilancia.","Gestión operativa: cámaras, analítica y patrullaje integrado PNP–municipios. Recuperación de espacios (modelo Gamarra). Foco en extorsión y microcomercialización.","https://www.youtube.com/watch?v=vrEhkJg8iKo; https://es.wikipedia.org/wiki/George_Forsyth","2","https://candidatosperu2026.neocities.org/"
"gf","George Forsyth","Somos Perú","educacion","Educacion","Infraestructura y deporte.","Deporte y cultura cívica como prevención. Infraestructura básica y conectividad. Educación técnica para empleabilidad juvenil.","https://somosperu.org.pe/","1","https://candidatosperu2026.neocities.org/"
"gf","George Forsyth","Somos Perú","mineria","Mineria","Proinversión cumpliendo normas.","Proinversión con cumplimiento de normas y diálogo temprano. Seguridad jurídica y permisos ágiles con fiscalización.","https://es.wikipedia.org/wiki/George_Forsyth","1","https://candidatosperu2026.neocities.org/"
"gf","George Forsyth","Somos Perú","produccion","Produccion","Apoyo a emprendedores.","Facilitar comercio y MYPES (caso Gamarra): orden del espacio público, simplificación y control de mafias/contrabando. Acceso a microcrédito.","https://www.youtube.com/watch?v=vrEhkJg8iKo","1","https://candidatosperu2026.neocities.org/"
"gf","George Forsyth","Somos Perú","economia","Economia","Promercado.","Promercado con gestión territorial eficiente como palanca de productividad. Reducción de costos logísticos y digitalización.","https://es.wikipedia.org/wiki/George_Forsyth","1","https://candidatosperu2026.neocities.org/"
"gf","George Forsyth","Somos Perú","social","Social","Conservador moderado.","Conservador moderado; énfasis en seguridad, oportunidades para jóvenes y servicios locales.","https://es.wikipedia.org/wiki/George_Forsyth","1","https://candidatosperu2026.neocities.org/"
"yl","Yonhy Lescano","Cooperación Popular","seguridad","Seguridad","Prevención y fortalecimiento PNP.","Prevención con políticas sociales en barrios vulnerables; mejor equipamiento y formación de PNP; reforma de justicia para combatir impunidad.","https://es.wikipedia.org/wiki/Yonhy_Lescano; https://www.youtube.com/watch?v=rp_EtZgYLFs","2","https://candidatosperu2026.neocities.org/"
"yl","Yonhy Lescano","Cooperación Popular","educacion","Educacion","Mayor presupuesto y calidad pública.","Aumento sostenido del presupuesto para la educación pública, priorizando escuelas rurales, conectividad y carrera docente.","https://es.wikipedia.org/wiki/Yonhy_Lescano","1","https://candidatosperu2026.neocities.org/"
"yl","Yonhy Lescano","Cooperación Popular","mineria","Mineria","Renegociar contratos y mayor canon.","Renegociación de contratos para mayor captura de renta y canon con estándares ambientales y consulta previa efectiva.","https://es.wikipedia.org/wiki/Yonhy_Lescano","1","https://candidatosperu2026.neocities.org/"
"yl","Yonhy Lescano","Cooperación Popular","produccion","Produccion","Compras públicas a MYPES.","Compras estatales a MYPES/cooperativas, lucha contra oligopolios y crédito/ asistencia técnica estatal.","https://es.wikipedia.org/wiki/Yonhy_Lescano","1","https://candidatosperu2026.neocities.org/"
"yl","Yonhy Lescano","Cooperación Popular","economia","Economia","Mixta con rol estatal.","Modelo mixto: mercado con regulación fuerte donde existan fallas (servicios, competencia) y Estado promotor en infraestructura.","https://es.wikipedia.org/wiki/Yonhy_Lescano","1","https://candidatosperu2026.neocities.org/"
"yl","Yonhy Lescano","Cooperación Popular","social","Social","Progresista moderado.","Progresismo moderado en derechos y protección al consumidor; prioridad a salud, educación y reducción de desigualdad.","https://es.wikipedia.org/wiki/Yonhy_Lescano","1","https://candidatosperu2026.neocities.org/"
"alc","Alfonso López Chau","Ahora Nación","seguridad","Seguridad","Fortalecer instituciones; prevención.","Propone reorganizar la Policía “de arriba abajo” y reinstalar la Policía de Investigaciones del Perú (PIP). Sugiere colocar policías armados de forma aleatoria en ómnibus y modernizar laboratorios e investigación con apoyo tecnológico.","https://ojo-publico.com/entrevistas/alfonso-lopez-chau-creo-que-necesitamos-una-nueva-constitucion; https://larepublica.pe/politica/2025/05/12/alfonso-lopez-chau-el-rector-de-la-uni-que-busca-ser-presidente-del-peru-con-economia-nacional-de-mercado-hnews-476949","2","https://candidatosperu2026.neocities.org/"
"alc","Alfonso López Chau","Ahora Nación","educacion","Educacion","Impulso a universidades y CyT.","Dice haber presentado un plan estratégico en educación que no requiere mayor gasto y enfatiza “educación de excelencia”, ciencia y tecnología; plantea fortalecer la educación pública.","https://larepublica.pe/politica/2025/05/12/alfonso-lopez-chau-el-rector-de-la-uni-que-busca-ser-presidente-del-peru-con-economia-nacional-de-mercado-hnews-476949; https://www.facebook.com/reel/1901732980405152","2","https://candidatosperu2026.neocities.org/"
"alc","Alfonso López Chau","Ahora Nación","mineria","Mineria","Mayor transformación local.","Se compromete a “atender conflictos mineros” y vincula la criminalidad con economías ilegales como la minería ilegal, a las que enfrentaría con la reorganización policial.","https://elbuho.pe/2025/07/alfonso-lopez-chau-el-peru-necesita-culminar-su-proceso-de-construccion-nacional/; https://ojo-publico.com/entrevistas/alfonso-lopez-chau-creo-que-necesitamos-una-nueva-constitucion","2","https://candidatosperu2026.neocities.org/"
"alc","Alfonso López Chau","Ahora Nación","produccion","Produccion","Política industrial selectiva.","Plantea impulsar la transformación productiva con hidrógeno verde como pilar industrial. Además, se compromete a culminar el Gasoducto Sur para masificar el gas.","https://actualidadminera.com/rector_uni-2/; https://elbuho.pe/2025/07/promesa-realista-o-imposible-lopez-chau-promete-culminar-el-gasoducto-del-sur-si-llega-al-poder-video/","2","https://candidatosperu2026.neocities.org/"
"alc","Alfonso López Chau","Ahora Nación","economia","Economia","Mixta con énfasis productivo.","Defiende una “economía nacional (y social) de mercado” y la “sociedad de tres manos”: mercado, Estado y solidaridad. Promueve alianzas Estado-privado e industrialización (cita el caso de la Marina con Corea).","https://larepublica.pe/politica/2025/05/12/alfonso-lopez-chau-el-rector-de-la-uni-que-busca-ser-presidente-del-peru-con-economia-nacional-de-mercado-hnews-476949","1","https://candidatosperu2026.neocities.org/"
"alc","Alfonso López Chau","Ahora Nación","social","Social","Acceso a educación y salud.","Prioriza la justicia social y la cohesión social; propone una nueva Constitución para encausar ese proyecto nacional y “todo el poder a las regiones”","https://ojo-publico.com/entrevistas/alfonso-lopez-chau-creo-que-necesitamos-una-nueva-constitucion","1","https://candidatosperu2026.neocities.org/"
"mv","Mario Vizcarra","Perú Primero","seguridad","Seguridad","Institucionalidad y prevención.","","","0","https://candidatosperu2026.neocities.org/"
"mv","Mario Vizcarra","Perú Primero","educacion","Educacion","Calidad y acceso.","","","0","https://candidatosperu2026.neocities.org/"
"mv","Mario Vizcarra","Perú Primero","mineria","Mineria","Estabilidad y formalidad.","","","0","https://candidatosperu2026.neocities.org/"
"mv","Mario Vizcarra","Perú Primero","produccion","Produccion","Productividad y competitividad.","","","0","https://candidatosperu2026.neocities.org/"
"mv","Mario Vizcarra","Perú Primero","economia","Economia","Disciplina fiscal.","","","0","https://candidatosperu2026.neocities.org/"
"mv","Mario Vizcarra","Perú Primero","social","Social","Moderado.","","","0","https://candidatosperu2026.neocities.org/"
"apb","Álvaro Paz de la Barra","Fe en el Perú","seguridad","Seguridad","Endurecer penas; expulsión de delincuentes extranjeros.","","","0","https://candidatosperu2026.neocities.org/"
"apb","Álvaro Paz de la Barra","Fe en el Perú","educacion","Educacion","Prevención desde municipios.","","","0","https://candidatosperu2026.neocities.org/"
"apb","Álvaro Paz de la Barra","Fe en el Perú","mineria","Mineria","Proinversión cumpliendo normas.","","","0","https://candidatosperu2026.neocities.org/"
"apb","Álvaro Paz de la Barra","Fe en el Perú","produccion","Produccion","Obras y servicios básicos.","","","0","https://candidatosperu2026.neocities.org/"
"apb","Álvaro Paz de la Barra","Fe en el Perú","economia","Economia","Promercado.","","","0","https://candidatosperu2026.neocities.org/"
"apb","Álvaro Paz de la Barra","Fe en el Perú","social","Social","Conservador.","","","0","https://candidatosperu2026.neocities.org/"
"ca2","Carlos Álvarez","País para Todos","seguridad","Seguridad","Endurecer penas; control de frontera.","Plantea pena de muerte para sicarios y violadores, retirar al Perú del Pacto de San José y “mano de hierro” contra el crimen; promueve construir más cárceles/megapenales.","https://www.facebook.com/watch/?v=1815023379353449; https://rpp.pe/peru/actualidad/carlos-alvarez-anuncia-su-disposicion-de-postular-a-la-presidencia-y-propone-pena-de-muerte-contra-criminales-noticia-1625714","2","https://candidatosperu2026.neocities.org/"
"ca2","Carlos Álvarez","País para Todos","educacion","Educacion","Énfasis en civismo y valores.","NO HAY","","0","https://candidatosperu2026.neocities.org/"
"ca2","Carlos Álvarez","País para Todos","mineria","Mineria","Proinversión con control.","NO HAY","","0","https://candidatosperu2026.neocities.org/"
"ca2","Carlos Álvarez","País para Todos","produccion","Produccion","Menos burocracia.","NO HAY","","0","https://candidatosperu2026.neocities.org/"
"ca2","Carlos Álvarez","País para Todos","economia","Economia","Promercado.","Afirma “creer en las empresas del Estado” y plantea reestructurar Petroperú (declaraciones en entrevista reciente); esto generó críticas públicas.","https://altavoz.pe/politica/carlos-alvarez-yo-creo-en-las-empresas-del-estado/; https://willax.pe/politica/rafael-lopez-aliaga-carlos-alvarez-petroperu-willax","2","https://candidatosperu2026.neocities.org/"
"ca2","Carlos Álvarez","País para Todos","social","Social","Conservador.","Se define por un enfoque “pragmático” centrado en servicios básicos y lucha anticorrupción (sin mayor detalle programático público)","https://rpp.pe/politica/elecciones/carlos-alvarez-no-soy-ni-de-izquierda-ni-de-derecha-ni-de-centro-el-gobernante-que-llegue-al-2026-debe-ser-pragmatico-noticia-1653430; https://caretas.pe/home_web/home_principal_secundario/carlos-alvarez-propone-un-gobierno-sin-etiquetas-ni-izquierda-ni-derecha-solo-sentido-comun/","2","https://candidatosperu2026.neocities.org/"
"rb2","Ricardo Belmont","Partido Cívico OBRAS","seguridad","Seguridad","Mano dura y control migratorio.","En campaña anterior propuso “Policía de Barrio” y reforzar investigación criminal como eje de seguridad ciudadana (video oficial de Andina).","https://andina.pe/agencia/video-propuesta-ricardo-belmont-sobre-seguridad-ciudadana-45257.aspx","1","https://candidatosperu2026.neocities.org/"
"rb2","Ricardo Belmont","Partido Cívico OBRAS","educacion","Educacion","Valores tradicionales.","NO HAY","","0","https://candidatosperu2026.neocities.org/"
"rb2","Ricardo Belmont","Partido Cívico OBRAS","mineria","Mineria","Renegociación de contratos.","En transmisiones recientes, menciona mantener la “propiedad del litio” en manos peruanas (enlace a su página oficial de Facebook con el clip de entrevista).","https://www.facebook.com/watch/?v=1883043565899577","1","https://candidatosperu2026.neocities.org/"
"rb2","Ricardo Belmont","Partido Cívico OBRAS","produccion","Produccion","Soberanía económica.","NO HAY","","0","https://candidatosperu2026.neocities.org/"
"rb2","Ricardo Belmont","Partido Cívico OBRAS","economia","Economia","Intervención selectiva.","NO HAY","","0","https://candidatosperu2026.neocities.org/"
"rb2","Ricardo Belmont","Partido Cívico OBRAS","social","Social","Conservador.","En transmisión pública afirmó: “quisiera que esta Constitución (la del 93) se fuera a la basura” y consideró que “una Asamblea Constituyente no sería mala idea”","https://www.facebook.com/watch/?v=1557959071838300","1","https://candidatosperu2026.neocities.org/"
"jn","Jorge Nieto","Partido del Buen Gobierno","seguridad","Seguridad","Reforma policial y prevención social.","Propone “empoderar a la PNP”, retomar “unidades especializadas” exitosas contra asaltos y secuestros, y combatir la corrupción en Policía y Fiscalía como 3 ejes concretos. En su web partidaria define un país “seguro y en paz” con un Estado que asuma la lucha contra el crimen.","https://rpp.pe/politica/elecciones/exministro-jorge-nieto-anuncia-la-inscripcion-de-su-organizacion-politica-partido-del-buen-gobierno-de-cara-a-las-elecciones-2026-noticia-1568202; https://www.partidodelbuengobierno.pe/seguridad.php","2","https://candidatosperu2026.neocities.org/"
"jn","Jorge Nieto","Partido del Buen Gobierno","educacion","Educacion","Meritocracia y calidad docente.","Plantea una reforma educativa “igualadora” con enfoque humanista: escuelas conectadas e internet gratuito y de calidad; inversión en infraestructura y seguridad alimentaria; seguros de salud escolar; fortalecimiento de formación técnica y becas para estudiantes y docentes.","https://partidodelbuengobierno.pe/educacion.php","1","https://candidatosperu2026.neocities.org/"
"jn","Jorge Nieto","Partido del Buen Gobierno","mineria","Mineria","Proinversión con participación local.","NO HAY","","0","https://candidatosperu2026.neocities.org/"
"jn","Jorge Nieto","Partido del Buen Gobierno","produccion","Produccion","Productividad y apoyo a MYPES.","Promueve inversión pública en infraestructura con foco en conectividad y productividad territorial; articulación público-privada para empleo digno y “desarrollo de infraestructuras” como palanca de crecimiento.","https://www.partidodelbuengobierno.pe/promocion-empleo-desarrollo-infraestructura.php","1","https://candidatosperu2026.neocities.org/"
"jn","Jorge Nieto","Partido del Buen Gobierno","economia","Economia","Promercado regulado.","Eje de “Economía y reforma fiscal”: impulsar competitividad vía exportaciones, compras públicas y mercado interno; fortalecer emprendimientos urbanos y agricultura familiar; crecimiento con estabilidad macroeconómica. Además, ha declarado que el Perú puede llegar a ser la economía N.º 25 al 2050 (meta de largo plazo).","https://www.partidodelbuengobierno.pe/economia-reforma-fiscal.php; https://www.exitosanoticias.pe/politica/jorge-nieto-asegura-peru-puede-llegar-ser-economia-n25-mundo-lo-vamos-lograr-2050-n133210","2","https://candidatosperu2026.neocities.org/"
"jn","Jorge Nieto","Partido del Buen Gobierno","social","Social","Liberal moderado.","Lineamientos generales: “recuperar el Estado para el interés público”, políticas contra las desigualdades y protección de mujeres, con énfasis territorial (Amazonía, Sierra, Mar, ciudades sostenibles). Declaración pública programática en el “Llamamiento” del partido.","https://www.partidodelbuengobierno.pe/llamamiento.php","1","https://candidatosperu2026.neocities.org/"
"ag","Álex Gonzales","Partido Demócrata Verde","seguridad","Seguridad","Orden municipal y salud pública.","","","0","https://candidatosperu2026.neocities.org/"
"ag","Álex Gonzales","Partido Demócrata Verde","educacion","Educacion","Educación ambiental.","","","0","https://candidatosperu2026.neocities.org/"
"ag","Álex Gonzales","Partido Demócrata Verde","mineria","Mineria","Formalización y mayores exigencias ambientales.","","","0","https://candidatosperu2026.neocities.org/"
"ag","Álex Gonzales","Partido Demócrata Verde","produccion","Produccion","Economía circular.","","","0","https://candidatosperu2026.neocities.org/"
"ag","Álex Gonzales","Partido Demócrata Verde","economia","Economia","Regulación ambiental.","","","0","https://candidatosperu2026.neocities.org/"
"ag","Álex Gonzales","Partido Demócrata Verde","social","Social","Espacios públicos y salud.","","","0","https://candidatosperu2026.neocities.org/"
"fo","Fernando Olivera","Frente de la Esperanza","seguridad","Seguridad","Depuración policial y judicial.","","","0","https://candidatosperu2026.neocities.org/"
"fo","Fernando Olivera","Frente de la Esperanza","educacion","Educacion","Ética pública.","","","0","https://candidatosperu2026.neocities.org/"
"fo","Fernando Olivera","Frente de la Esperanza","mineria","Mineria","Revisión de contratos irregulares.","","","0","https://candidatosperu2026.neocities.org/"
"fo","Fernando Olivera","Frente de la Esperanza","produccion","Produccion","Compras transparentes.","","","0","https://candidatosperu2026.neocities.org/"
"fo","Fernando Olivera","Frente de la Esperanza","economia","Economia","Competencia con lucha anticorrupción.","","","0","https://candidatosperu2026.neocities.org/"
"fo","Fernando Olivera","Frente de la Esperanza","social","Social","Institucionalismo.","","","0","https://candidatosperu2026.neocities.org/"
"mg","Mariano González","Salvemos al Perú","seguridad","Seguridad","Reforma de inteligencia; crimen organizado.","","","0","https://candidatosperu2026.neocities.org/"
"mg","Mariano González","Salvemos al Perú","educacion","Educacion","Gestión por resultados.","","","0","https://candidatosperu2026.neocities.org/"
"mg","Mariano González","Salvemos al Perú","mineria","Mineria","Promercado.","","","0","https://candidatosperu2026.neocities.org/"
"mg","Mariano González","Salvemos al Perú","produccion","Produccion","Eficiencia estatal.","","","0","https://candidatosperu2026.neocities.org/"
"mg","Mariano González","Salvemos al Perú","economia","Economia","Promercado.","","","0","https://candidatosperu2026.neocities.org/"
"mg","Mariano González","Salvemos al Perú","social","Social","Conservador.","","","0","https://candidatosperu2026.neocities.org/"
"af","Arturo Fernández","Un Camino Diferente","seguridad","Seguridad","Retórica punitiva (“meter bala”).","","","0","https://candidatosperu2026.neocities.org/"
"af","Arturo Fernández","Un Camino Diferente","educacion","Educacion","Orden local y enfoque moralista.","","","0","https://candidatosperu2026.neocities.org/"
"af","Arturo Fernández","Un Camino Diferente","mineria","Mineria","Gestión directa (retórica).","","","0","https://candidatosperu2026.neocities.org/"
"af","Arturo Fernández","Un Camino Diferente","produccion","Produccion","Obras rápidas; menos trámites.","","","0","https://candidatosperu2026.neocities.org/"
"af","Arturo Fernández","Un Camino Diferente","economia","Economia","Pragmatismo local.","","","0","https://candidatosperu2026.neocities.org/"
"af","Arturo Fernández","Un Camino Diferente","social","Social","Estilo confrontacional.","","","0","https://candidatosperu2026.neocities.org/"
"fm","Fiorella Molinelli","Alianza Fuerza y Libertad","seguridad","Seguridad","Prevención desde salud/territorio.","","","0","https://candidatosperu2026.neocities.org/"
"fm","Fiorella Molinelli","Alianza Fuerza y Libertad","educacion","Educacion","Capital humano y salud preventiva.","","","0","https://candidatosperu2026.neocities.org/"
"fm","Fiorella Molinelli","Alianza Fuerza y Libertad","mineria","Mineria","Regulación técnica.","","","0","https://candidatosperu2026.neocities.org/"
"fm","Fiorella Molinelli","Alianza Fuerza y Libertad","produccion","Produccion","Eficiencia del gasto; APPs.","","","0","https://candidatosperu2026.neocities.org/"
"fm","Fiorella Molinelli","Alianza Fuerza y Libertad","economia","Economia","Promercado.","","","0","https://candidatosperu2026.neocities.org/"
"fm","Fiorella Molinelli","Alianza Fuerza y Libertad","social","Social","Salud pública.","","","0","https://candidatosperu2026.neocities.org/"
"rs","Roberto Sánchez","Juntos por el Perú","seguridad","Seguridad","Prevención social y fortalecimiento PNP.","","","0","https://candidatosperu2026.neocities.org/"
"rs","Roberto Sánchez","Juntos por el Perú","educacion","Educacion","Mayor inversión y gratuidad efectiva.","","","0","https://candidatosperu2026.neocities.org/"
